IDPlans,Department,Title,Amount,Detail,UseForUnit,PlanName,WorkName,BudgetName,BudgetType,EmpCatagory,GroupType,Year,PSUPassport,FileUpload
61,งานเลขานุการคณบดี,"ค่าอาหาร,อาหารว่างและเครื่องดื่ม",10000,เพื่อเป็นค่าอาหาร อาหารว่างและเครื่องดื่มสำหรับการประชุมทีมดำเนินงานต่างๆ การเลี้ยงรับรองแขกหรือบุคคลสำคัญ การจัดประชุมคณะกรรมการชุดต่างๆ การเป็นเจ้าภาพเลี้ยงอาหารเย็นที่ประชุมคณบดีและอื่นๆ,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
62,งานการเจ้าหน้าที่,เงินสมทบค่าประกันสังคม,72000,สำหรับสมทบกองทุนประกันสังคมพนักงานเงินรายได้สายสนับสนุน(750.-บาทx12เดือนx8คน),ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
63,งานการเจ้าหน้าที่,เงินสมทบกองทุนสำรองเลี้ยงชีพ,90000,เพื่อเป็นค่าสมทบกองทุนสำรองเลี้ยงชีพของพนักงานเงินรายได้สายสนับสนุน 8 คน อัตรา 5% ของค่าจ้างทั้งหมด,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
64,งานการเจ้าหน้าที่,กองทุนเงินทดเเทน(สายสนับสนุน),4000,เพื่อเป็นค่าสมทบกองทุนทดแทนสำหรับพนักงานเงินรายได้สายสนับสนุน,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
65,งานการเจ้าหน้าที่,ค่าใช้จ่ายในกิจกรรมปีใหม่,35000,เพื่อเป็นค่าใช้จ่ายในการจัดงานปีใหม่,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบรายจ่ายอื่น,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
66,งานการเจ้าหน้าที่,ค่าใช้จ่ายในการจัดกิจกรรมพิเศษ,100000,"เพื่อเป็นค่าใช้จ่ายกิจกรรมที กจ.เป็นผู้ประสานงาน เช่น กีฬาสีสามศาสตร์(คณะเป็นเจ้าภาพ),กิจกรรมกีฬาสีวิทยาเขตหาดใหญ่หรือกิจกรรมอื่น ๆ",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบรายจ่ายอื่น,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
67,งานการเจ้าหน้าที่,ค่ารักษาพยาบาล,47000,เพื่อเป็นค่ารักษาพยาบาลส่วนที่เบิกไม่ได้จากประกันสังคมให้กับพนักงานมหาวิทยาลัยและพนักงานเงินรายได้ และของข้าราชการและพนักงานมหาวิทยาลัยเปลี่ยนสถานภาพที่เกินสิทธิ์จำนวน 47 คน x 1000.- บาท,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบรายจ่ายอื่น,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
68,งานการเจ้าหน้าที่,ค่าประกันอุบัติเหตุกลุ่ม,9400,เพื่อเป็นค่าประกันอุบัติเหตุให้อาจารย์และบุคลากรภายในคณะฯ 47 คน x 200.- บาท,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบรายจ่ายอื่น,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
69,งานการเจ้าหน้าที่,ค่าประกันไวรัสโคโรน่า(COVID-19),28200,เพื่อเป็นค่าประกันไวรัสโคโรน่า(COVID-19) ให้บุคลากรในสังกัดคณะฯ 600.-บาท x 47 คน,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบรายจ่ายอื่น,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
70,งานการเจ้าหน้าที่,เงินบริจาคการกุศล,10000,ค่าร่วมทำบุญงานศพของบิดา/มารดา/ญาติสายตรงของบุคลากร,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบเงินอุดหนุน,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
71,งานการเจ้าหน้าที่,ค่าวัสดุ,10000,"ค่าดอกไม้,กระเช้าเยี่ยมไข้/คลอดบุตร",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
72,งานการเจ้าหน้าที่,ค่าสมนาคุณผู้ประเมินผลงานการเข้าสู่ตำแหน่งที่สูงขึ้นบุคลากรสายสนับสนุน,30000,เพื่อเป็นค่าตอบแทนให้แก่ผู้ประเมินผลงานการเข้าสู่ตำแหน่งที่สูงขึ้นบุคลากรสายสนับสนุน,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานพัฒนาบุคลากรฝ่ายบริหารและสายสนับสนุน,รายจ่ายประจำ,งบดำเนินงาน,ค่าตอบแทน,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
73,งานประชาสัมพันธ์,ค่าจ้างเหมาบริการ,15000,"1) ค่าย้ายจุด Digital Signage 5,000 บาท 2) ค่าจ้างเหมาทำบอร์ดประชาสัมพันธ์ 10,000 บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
74,งานวิเทศสัมพันธ์,ค่ารับรองและพิธีการ,10000,เพื่อเป็นค่าอาหารกลางวัน อาหารว่างและเครื่องดื่ม สำหรับการประชุมต่าง ๆ รวมถึงการเลี้ยงต้อนรับ และเลี้ยงส่งแขกและผู้เชี่ยวชาญต่างประเทศที่มาเยี่ยมชมคณะ หรือช่วยงานคณะและสาขาวิชา ทั้งในประเทศและต่างประเทศ,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
75,งานประชาสัมพันธ์,ค่าวัสดุ,30000,"1) ค่าจัดทำของที่ระลึก, ค่า ส.ค.ส./บัตรอวยพรเนื่องในโอกาสต่าง ๆ 2) ค่าดอกไม้ ค่าพวงหรีด พวงมาลา และอื่น ๆ",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
76,งานประชาสัมพันธ์,ค่าไปรษณีย์,3000,ค่าส่ง ส.ค.ส จุลสาร และเอกสารประชาสัมพันธ์อื่น ๆ,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าสาธารนูปโภค,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
77,งานการเจ้าหน้าที่,ค่าใช้จ่ายเดินทางไปประชุม สัมมนาและฝึกอบรม,289000,"เพื่อสมทบเป็นค่าเดินทาง ค่าลงทะเบียน ค่าที่พักเหมาจ่าย ในการประชุม/สัมมนา/ฝึกอบรม/ดูงาน เช่น โครงการพัฒนาทักษะที่เกี่ยวข้องกับงานหรือเพิ่มประสิทธิภาพในการปฏิบัติงาน -บุคลากรสายสนับสนุน(พนักงานมหาวิทยาลัย) 10 คน x 17,000.-บาท -บุคลากรสายสนับสนุน(พนักงานเงินรายได้) 7 คน x 17,000.- บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานพัฒนาบุคลากรฝ่ายบริหารและสายสนับสนุน,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
78,งานประชาสัมพันธ์,เงินบริจาคการกุศล,25000,เพื่อเป็นเงินค่าบริจาคการกุศล และให้ความสนับสนุนกิจกรรมต่างจากที่หน่วยงานภายนอกขอความอนุเคราะห์,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบเงินอุดหนุน,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
79,งานการเจ้าหน้าที่,ค่าใช้จ่ายเดินทางไปประชุม สัมมนาและฝึกอบรมที่เกี่ยวข้องกับงานบริหาร,120000,"เพื่อสมทบเป็นค่าเดินทาง ค่าลงทะเบียน ค่าที่พักเหมาจ่าย ในการประชุม/สัมมนา/ฝึกอบรม/ดูงาน -ผู้บริหารคณะฯ และหัวหน้าสาขาวิชา 6 คน x 20,000.-บาท",ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานพัฒนาบุคลากรฝ่ายบริหารและสายสนับสนุน,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
80,งานการเจ้าหน้าที่,ค่าจ้างพนักงานเงินรายได้ตำแหน่งอาจารย์วุฒิปริญญาโท,732000,"1.อัตราเดิม - ตำแหน่งอาจารย์(อ.นิตยา ) เดือนละ 29,500.- บาท x 12 เดือน x 1คน 2. อัตราใหม่ - ตำแหน่งอาจารย์ (วุฒิปริญญาโท/ปริญญาเอก)เป็นอัตราส่วนกลางกรณีคณะฯ สำรองกรณีจำเป็นเร่งด่วนหรือระหว่างรออัตราจากทางมหาวิทยาลัย และการจ้างที่ไม่เป็นพนักงานเงินรายได้ในลักษณะ Adjunct Professor) เดือนละ 31,500.-บาท x 12 เดือน x 1 อัตรา",ส่วนกลางคณะ,แผนงานจัดการศึกษา,งานจัดการศึกษาคณะเศรษฐศาสตร์,รายจ่ายประจำ,งบบุคลากร,ค่าจ้าง,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
81,งานการเจ้าหน้าที่,เงินสมทบประกันสังคม,27000,เพื่อเป็นค่าสมทบประกันสังคมของตำแหน่งอาจารย์ที่จ้างด้วยเงินรายได้คณะฯ 750.-บาท x 12 คน x 3 คน,ส่วนกลางคณะ,แผนงานจัดการศึกษา,งานจัดการศึกษาคณะเศรษฐศาสตร์,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
82,งานการเจ้าหน้าที่,เงินสมทบกองทุนสำรองเลี้ยงชีพ,55000,เพื่อเป็นค่าสมทบกองทุนสำรองเลี้ยงชีพของอาจารย์ที่จ้างด้วยเงินรายได้คณะฯ จำนวน 3 คน ในอัตรา 5% ของค่าจ้างทั้งหมด,ส่วนกลางคณะ,แผนงานจัดการศึกษา,งานจัดการศึกษาคณะเศรษฐศาสตร์,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
83,งานการเจ้าหน้าที่,เงินสมทบกองทุนพนักงานมหาวิทยาลัย,22300,เพื่อเป็นค่าสมทบกองทุนพนักงานมหาวิทยาลัยให้กับอัตราพนักงานมหาวิทยาลัยเงินรายได้ตำแหน่งอาจารย์(กรณีมีคนครอง) 1 คน ในอัตรา 7% ของค่าจ้างทั้งหมด,ส่วนกลางคณะ,แผนงานจัดการศึกษา,งานจัดการศึกษาคณะเศรษฐศาสตร์,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
85,งานประชาสัมพันธ์,ค่าใช้จ่ายประชาสัมพันธ์คณะเศรษฐศาสตร์,100000,เพื่อเป็นค่าใช้จ่ายในงานประชาสัมพันธ์คณะ ดังนี้ 1) ผลิตสื่อต่าง ๆ เช่น VTR แผ่นพับ ไวนิล Backdrop ฯลฯ 2) ค่าโฆษณาผ่านสื่อต่าง ๆ 3) เป็นค่าใช้จ่ายในการเตรียมการ และออกพื้นที่แนะนำหลักสูตร (การออก Roadshow ต่าง ๆ) ทั้งในระดับมหาวิทยาลัย ระดับคณะ และระดับสาขาวิชา 4) ค่าใช้จ่ายอื่น ๆ ที่เกี่ยวข้องกับการประชาสัมพันธ์คณะ,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบรายจ่ายอื่น,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
87,งานการเจ้าหน้าที่,กองทุนเงินทดแทน(สายวิชาการ),1000,เป็นเงินกองทุนทดแทนสำหรับพนักงานเงินรายได้/พนักงานมหาวิทยาลัยเงินรายได้ตำแหน่งอาจารย์ 1 คน,ส่วนกลางคณะ,แผนงานจัดการศึกษา,งานจัดการศึกษาคณะเศรษฐศาสตร์,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
88,งานวิเทศสัมพันธ์,ค่าใช้จ่ายงานวิเทศสัมพันธ์ และงานองค์กรสัมพันธ์,100000,เพื่อเป็นค่าใช้จ่ายในงานวิเทศสัมพันธ์คณะ ดังนี้ 1) ค่าใช้จ่ายในการทำความร่วมมือภายใต้เครือข่าย AUN-AEC 2) ค่าใช้จ่ายในการเตรียมทำความร่วมมือกับสถาบันการศึกษา/หน่วยงานต่างประเทศที่ยังไม่มี MOU/MOA ร่วมกัน 3) ค่าใช้จ่ายในการจัดกิจกรรมร่วมกับสถาบันการศึกษา/หน่วยงานต่างประเทศที่มี MOU/MOA ร่วมกัน 4) ค่าใช้จ่ายในการจัดกิจกรรมเพื่อส่งเสริมความเป็นสากลในคณะ (Internationalization at Home) เช่น การจัด Exchange Program Summer School หรือกิจกรรมที่ส่งเสริมการใช้ภาษาต่างประเทศ เป็นต้น 5) ค่าใช้จ่ายในการสนับสนุนการเตรียมความพร้อมของนักศึกษาที่ได้รับคัดเลือกให้เข้าร่วมโครงการ/กิจกรรมส่งเสริมการศึกษาต่าง ๆ ที่จัดในต่างประเทศ,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบรายจ่ายอื่น,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
89,งานประชาสัมพันธ์,ค่าใช้จ่ายการจัดกิจกรรมพิเศษ,15000,เพื่อเป็นค่าใช้จ่ายดำเนินการ ค่าอาหาร ค่าซุ้ม ค่าอื่น ๆ ในงานพิเศษของมหาวิทยาลัย เช่น งานถวายพระกายาหาร งานมุทิตาจิตบุคคลสำคัญ หรืองานอื่น ๆ ที่คณะต้องไปเข้าร่วม,ส่วนกลางคณะ,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบรายจ่ายอื่น,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
90,งานการเจ้าหน้าที่,ค่าสมนาคุณผู้ประเมินผลงานทางวิชาการ,40000,เพื่อเป็นค่าตอบแทนให้แก่ผู้ประเมินผลงานทางวิชาการ,ส่วนกลางคณะ,แผนงานสนับสนุนการศึกษา,งานพัฒนาหลักสูตรและการเรียนการสอน,รายจ่ายประจำ,งบดำเนินงาน,ค่าตอบแทน,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
91,งานวิเทศสัมพันธ์,ค่าใช้จ่ายเกี่ยบกับหนังสือเดินทาง ค่าวีซ่า Work Permit ของบุคลากรชาวต่างประเทศ,10000,เพื่อเป็นค่าดำเนินการด้านเอกสารให้กับบุคลากรชาวต่างประเทศ ดังนี้ 1) ขอใหม่/ต่อการตรวจลงตรา (Visa) 2) การดำเนินการขอใหม่/ต่อใบอนุญาตทำงาน (Work Permit),ส่วนกลางคณะ,แผนงานจัดการศึกษา,งานจัดการศึกษาคณะเศรษฐศาสตร์,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
92,งานวิเทศสัมพันธ์,ค่าเดินทางมาดำรงตำแหน่งของบุคลากรชาวต่างประเทศ,100000,เพื่อเป็นค่าเดินทางไป-กลับ ให้กับชาวต่างชาติที่จะมาช่วยงานให้กับสาขาวิชาและคณะ (1 ครั้งตลอดอายุงาน),ส่วนกลางคณะ,แผนงานจัดการศึกษา,งานจัดการศึกษาคณะเศรษฐศาสตร์,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
94,งานบริการวิชาการ,ค่าเบี้ยเลี้ยง ค่าเช่าที่พักและค่ายานพาหนะ,50000,เพื่อเป็นค่าใช้จ่ายสนับสนุนการเดินทางไปปฏิบัติหน้าที่บริการวิชาการของคณะฯ ให้กับตัวแทนอาจารย์ หรือบุคลากรที่ได้รับการแต่งตั้ง/มอบหมายจากคณะให้ไปปฏิบัติหน้าที่บริการวิชาการในนามของคณะ เช่น การประชุมเครือข่ายนักเศรษฐศาสตร์ต่าง ๆ การออกบูธแสดงผลงานทางวิชาการและงานวิจัยในนามคณะ เป็นต้น,ส่วนกลางคณะ,แผนงานบริการวิชาการ,งานบริการวิชาการเพื่อสังคม,รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
95,งานบริการวิชาการ,ค่าใช้จ่ายสนับสนุนกิจกรรมบริการวิชาการของคณะ,150000,เพื่อเป็นค่าใช้จ่ายสนับสนุนงานบริการวิชาการ กิจกรรม/งานของคณะ การบริการวิชาการในรูปแบบชุดความรู้ หรือกิจกรรมด้านบริการวิชาการอื่นที่คณะฯ จัดร่วมกับองค์กรอื่น,ส่วนกลางคณะ,แผนงานบริการวิชาการ,งานบริการวิชาการเพื่อสังคม,รายจ่ายประจำ,งบรายจ่ายอื่น,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
96,งานการเจ้าหน้าที่,ค่าเอกสารประกอบการสอนและเอกสารประกอบคำสอน,10000,ค่าเอกสารประกอบคำสอนและเอกสารประกอบการสอนสำหรับสายวิชาการซึ่งใช้ขอตำแหน่งทางวิชาการ,ส่วนกลางคณะ,แผนงานสนับสนุนการศึกษา,งานพัฒนาหลักสูตรและการเรียนการสอน,รายจ่ายประจำ,งบดำเนินงาน,ค่าวัสดุ,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
97,งานบริการวิชาการ,ค่าใช้จ่ายสนับสนุนงานบริการวิชาการของสาขาวิชาเศรษฐศาสตร์,50000,"เพื่อเป็นค่าใช้จ่ายในการให้บริการวิชาการแก่สังคมและชุมชนแบบให้เปล่าของสาขาวิชาเศรษฐศาสตร์: การจัดสัมมนา/บรรยายพิเศษ บริการชุมชนประจำปี โครงการคุยไปคิดไป จุดไฟปัญญา หรือการจัดโครงการให้บริการวิชาการแก่สังคมอื่น ๆ จำนวน 50,000 บาท",สาขาวิชาเศรษฐศาสตร์,แผนงานบริการวิชาการ,งานบริการวิชาการเพื่อสังคม,รายจ่ายประจำ,งบรายจ่ายอื่น,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
98,งานการเจ้าหน้าที่,ค่าใช้จ่ายในการเดินทางประชุม สัมมนาและฝึกอบรม,650000,"เพื่อสมทบเป็นค่าเดินทาง ค่าลงทะเบียน ค่าที่พักเหมาจ่ายในการประชุม/สัมมนา/ฝึกอบรม/ดูงาน/ศึกษาต่อ เพื่อการพัฒนาบุคลากรสายวิชาการ ดังนี้ 1.อาจารย์(จ้างด้วย งปม.แผ่นดิน) 23 คน x 25,000.- บาท 2.อาจารย์(จ้างด้วยเงินรายได้คณะฯ) 3 คน x 25,000.- บาท",ส่วนกลางคณะ,แผนงานสนับสนุนการศึกษา,งานพัฒนาบุคลากรสายวิชาการ (สาย ก),รายจ่ายประจำ,งบดำเนินงาน,ค่าใช้สอย,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
99,งานบริการวิชาการ,กิจกรรม ม.อ.วิชาการ,150000,"เพื่อเป็นค่าใช้ในการจัดกิจกรรมในงาน ม.อ.วิชาการ คณะเศรษฐศาสตร์ โดยแบ่งเป็น 1) กิจกรรมส่วนกลาง 10,000 บาท 2) กิจกรรมตอบปัญหาทางเศรษฐศาสตร์ (ศศ.) 70,000 บาท 3) กิจกรรมการประกวดโครงงานเศรษฐกิจพอเพียง (ศก.) 70,000 บาท",ส่วนกลางคณะ,แผนงานบริการวิชาการ,งานบริการวิชาการเพื่อสังคม,รายจ่ายประจำ,งบรายจ่ายอื่น,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
100,งานบริการวิชาการ,ค่าใช้จ่ายสนับสนุนการจัดโครงการบริการวิชาการที่มีการเก็บค่าลงทะเบียน,120000,เพื่อเป็นค่าใช้จ่ายเริ่มต้นสำหรับการเตรียมการจัดโครงการบริการวิชาการที่มีการเก็บค่าลงทะเบียน เช่น การจัดหลักสูตรอบรมระยะสั้นต่าง ๆ เป็นต้น,ส่วนกลางคณะ,แผนงานบริการวิชาการ,งานบริการวิชาการเพื่อหารายได้,รายจ่ายประจำ,งบรายจ่ายอื่น,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thitiya.t,
102,งานบริการการศึกษา,ฝึกงานและสหกิจศึกษา,60000,"- จัดกิจกรรมชี้แจง 5,000 บาท - ค่าจัดทำเอกสาร 2,000 บาท - ประสานงานทางไปรษณีย์ 1,500 บาท - จัดกิจกรรมเตรียมความพร้อมด้านต่างๆ (เตรียมความพร้อมด้านวิชาการ 10,000 เตรียมความพร้อมด้านทักษะ 5,000) - นิเทศนักศึกษาฝึกงานและสหกิจศึกษา 25,000 บาท - ของที่ระลึกสำหรับหน่วยงาน 3,000 บาท - อบรมอาจารย์นิเทศสหกิจ 5,000 บาท - อื่นๆ ที่เกี่ยวข้อง 3,000 บาท",สาขาวิชาเศรษฐศาสตร์,แผนงานจัดการศึกษา,งานจัดการศึกษาคณะเศรษฐศาสตร์,รายจ่ายประจำ,งบเงินอุดหนุน,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thiti.m,
103,งานการเจ้าหน้าที่,ทุนอุดหนุนค่าสอบภาษาต่างประเทศ,36000,เพื่อเป็นค่าใช้จ่ายในการสอบ TOEFL IELTS GRE หรือการทดสอบต่างๆ ที่ใช้ภาษาต่างประเทศเป็นเกณฑ์รับเข้าศึกษาต่อจำนวน 4 ทุน ทุนละ 9000 บาท,ส่วนกลางคณะ,แผนงานสนับสนุนการศึกษา,งานพัฒนาบุคลากรสายวิชาการ (สาย ก),รายจ่ายประจำ,งบเงินอุดหนุน,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
104,งานบริการการศึกษา,การศึกษาดูงานในรายวิชา,50000,การศึกษาดูงานในรายวิชา,สาขาวิชาเศรษฐศาสตร์,แผนงานจัดการศึกษา,งานจัดการศึกษาคณะเศรษฐศาสตร์,รายจ่ายประจำ,งบเงินอุดหนุน,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thiti.m,
105,งานบริการการศึกษา,กิจกรรม PBL,5000,กิจกรรม PBL,สาขาวิชาเศรษฐศาสตร์,แผนงานจัดการศึกษา,งานจัดการศึกษาคณะเศรษฐศาสตร์,รายจ่ายประจำ,งบเงินอุดหนุน,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thiti.m,
106,งานการเจ้าหน้าที่,ทุนอุดหนุนการศึกษาต่อ,2000000,เพื่อเป็นค่าใช้จ่ายสนับสนุนการศึกษาให้กับอาจารย์ในสังกัด 4 คน ที่อยู่ระหว่างการศึกษาต่อระดับปริญญาเอกทั้งในและต่างประเทศ ทุน Ph.D 50%,ส่วนกลางคณะ,แผนงานสนับสนุนการศึกษา,งานพัฒนาบุคลากรสายวิชาการ (สาย ก),รายจ่ายประจำ,งบเงินอุดหนุน,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
107,งานประกันคุณภาพ,ค่าตอบแทนกรรมการประเมินคุณภาพภายนอกของหลักสูตรในสาขาวิชาเศรษฐศาสตร์ (1 หลักสูตร),11000,"เพื่อเป็นค่าตอบแทนกรรมการประเมิน AUN QA หลักสูตรโดย กก.ภายนอก จาก ทปอ. ในปีการศึกษา 2564 (คณะจะส่งเสริมให้หลักสูตรส่งประเมินภายนอกด้วยในปี 64) โดยหลักสูตรเศรษฐศาสตร์ มีค่าใช้จ่าย 1 หลักสูตร คือ ประธาน 1 คน 6,000 บ. + กก. 1 คน 5,000 บ. = 11,000 บ.",สาขาวิชาเศรษฐศาสตร์,แผนงานการบริหารการศึกษา,งานบริหารทั่วไป,รายจ่ายประจำ,งบดำเนินงาน,ค่าตอบแทน,ไม่ต้องจับกลุ่ม group,2020,sirikarn.k,
108,งานบริการการศึกษา,ฝึกงานและสหกิจศึกษา,80000,"- จัดกิจกรรมชี้แจง 5,000 บาท - ค่าจัดทำเอกสาร 2,000 บาท - ประสานงานทางไปรษณีย์ 1,500 บาท - จัดกิจกรรมเตรียมความพร้อมด้านต่างๆ (เตรียมความพร้อมด้านวิชาการ 15,000 เตรียมความพร้อมด้านทักษะ 5,000) - นิเทศนักศึกษาฝึกงานและสหกิจศึกษา 40,000 บาท - ของที่ระลึกสำหรับหน่วยงาน 3,500 บาท - อบรมอาจารย์นิเทศสหกิจ 5,000 บาท - อื่นๆ ที่เกี่ยวข้อง 3,000 บาท",สาขาวิชาเศรษฐศาสตร์เกษตร,แผนงานจัดการศึกษา,งานจัดการศึกษาคณะเศรษฐศาสตร์,รายจ่ายประจำ,งบเงินอุดหนุน,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thiti.m,
109,งานบริการการศึกษา,การศึกษาดูงานในรายวิชา,50000,การศึกษาดูงานในรายวิชา,สาขาวิชาเศรษฐศาสตร์เกษตร,แผนงานจัดการศึกษา,งานจัดการศึกษาคณะเศรษฐศาสตร์,รายจ่ายประจำ,งบเงินอุดหนุน,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thiti.m,
110,งานการเจ้าหน้าที่,ทุนอุดหนุนการเรียนภาษาเพิ่มเติม,40000,ค่าใช้จ่ายอุดหนุนการเรียนภาษาอังกฤษเพิ่มเติม หรือภาษาอื่นๆ ในประเทศที่ได้รับทุน เพื่อเตรียมตัวศึกษาต่อให้กับอาจารย์ กรณีอาจารย์ได้รับทุนศึกษาต่อปริญญาเอกเเล้ว จำนวน 4 ทุน ทุนละ 10000.- บาท,ส่วนกลางคณะ,แผนงานสนับสนุนการศึกษา,งานพัฒนาบุคลากรสายวิชาการ (สาย ก),รายจ่ายประจำ,งบเงินอุดหนุน,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,pattama.ru,
111,งานบริการการศึกษา,กิจกรรมการเรียนรู้วิถีชีวิตชุมชนเกษตร,60000,รายวิชาการเรียนรู้วิถีชีวิตชุมชนเกษตร,สาขาวิชาเศรษฐศาสตร์เกษตร,แผนงานจัดการศึกษา,งานจัดการศึกษาคณะเศรษฐศาสตร์,รายจ่ายประจำ,งบเงินอุดหนุน,ไม่มี,ไม่ต้องจับกลุ่ม group,2020,thiti.m,
